LabelName,Definition
/m/0mkg,"Accordions ( from 19th-century German Akkordeoncode deu promoted to code de from Akkordcode deu promoted to code de '' musical chord concord of sounds '' ) are a family of box-shaped musical instruments of the bellows-driven free reed aerophone type ( producing sound as air flows past a reed in a frame ) colloquially referred to as a squeezebox A person who plays the accordion is called an accordionist The concertina harmoneon and bandoneon are related The harmonium and American reed organ are in the same family but are typically larger than an accordion and sit on a surface or the floor The accordion is played by compressing or expanding the bellows while pressing buttons or keys causing pallets to open which allow air to flow across strips of brass or steel called reeds These vibrate to produce sound inside the body Valves on opposing reeds of each note are used to make the instrument 's reeds sound louder without air leaking from each reed block The musician normally plays the melody on buttons or keys on the right-hand side ( referred to as the manual ) and the accompaniment on bass or pre-set chord buttons on the left-hand side The accordion is widely spread across the world because of the waves of immigration from Europe to the Americas and other regions In some countries ( for example Argentina Brazil Colombia the Dominican Republic Mexico and Panama ) it is used in popular music ( for example chamamé in Argentina gaucho forró and sertanejo in Brazil vallenato in Colombia merengue in the Dominican Republic and norteño in Mexico ) whereas in other regions ( such as Europe North America and other countries in South America ) it tends to be more used for dance-pop and folk music In Europe and North America some popular music acts also make use of the instrument Additionally the accordion is used in cajun zydeco jazz and klezmer music and in both solo and orchestral performances of classical music The piano accordion is the official city instrument of San Francisco California United States Many conservatories in Europe have classical accordion departments The oldest name for this group of instruments is harmonika from the Greek harmonikoscode ell promoted to code el meaning `` harmonic musical '' Today native versions of the name accordion are more common These names refer to the type of accordion patented by Cyrill Demian which concerned `` automatically coupled chords on the bass side '' == History == The accordion 's basic form is believed to have been invented in Berlin in 1822 by Christian Friedrich Ludwig Buschmann although one instrument has been recently discovered that appears to have been built earlier.The earliest history of the accordion in Russia is poorly documented Nevertheless according to Russian researchers the earliest known simple accordions were made in Tula Russia by Ivan Sizov and Timofey Vorontsov around 1830 after they received an early accordion from Germany By the late 1840s the instrument was already very widespread together the factories of the two masters were producing 10,000 instruments"
/m/0k5j,An aircraft is a vehicle that is able to fly by gaining support from the air It counters the force of gravity by using either static lift or by using the dynamic lift of an airfoil or in a few cases the downward thrust from jet engines Common examples of aircraft include airplanes helicopters airships ( including blimps ) gliders paramotors and hot air balloons.The human activity that surrounds aircraft is called aviation The science of aviation including designing and building aircraft is called aeronautics Crewed aircraft are flown by an onboard pilot but unmanned aerial vehicles may be remotely controlled or self-controlled by onboard computers Aircraft may be classified by different criteria such as lift type aircraft propulsion usage and others == History == Flying model craft and stories of manned flight go back many centuries however the first manned ascent and safe descent in modern times took place by larger hot-air balloons developed in the 18th century Each of the two World Wars led to great technical advances Consequently the history of aircraft can be divided into five eras Pioneers of flight from the earliest experiments to 1914 First World War 1914 to 1918 Aviation between the World Wars 1918 to 1939 Second World War 1939 to 1945 Postwar era also called the Jet Age 1945 to the present day == Methods of lift == === Lighter than air – aerostats === Aerostats use buoyancy to float in the air in much the same way that ships float on the water They are characterized by one or more large cells or canopies filled with a relatively low-density gas such as helium hydrogen or hot air which is less dense than the surrounding air When the weight of this is added to the weight of the aircraft structure it adds up to the same weight as the air that the craft displaces Small hot-air balloons called sky lanterns were first invented in ancient China prior to the 3rd century BC and used primarily in cultural celebrations and were only the second type of aircraft to fly the first being kites which were first invented in ancient China over two thousand years ago ( See Han Dynasty ) A balloon was originally any aerostat while the term airship was used for large powered aircraft designs usually fixed-wing In 1919 Frederick Handley Page was reported as referring to `` ships of the air '' with smaller passenger types as `` Air yachts '' In the 1930s large intercontinental flying boats were also sometimes referred to as `` ships of the air '' or `` flying-ships '' though none had yet been built The advent of powered balloons called dirigible balloons and later of rigid hulls allowing a great increase in size began to change the way these words were used Huge powered aerostats characterized by a rigid outer framework and separate aerodynamic skin surrounding the gas bags were produced the Zeppelins being the largest and most famous There were still no fixed-wing aircraft or non-rigid balloons large enough to be called airships so
/m/046dlr,An alarm clock ( or sometimes just an alarm ) is a clock that is designed to alert an individual or group of individuals at a specified time The primary function of these clocks is to awaken people from their night 's sleep or short naps they are sometimes used for other reminders as well Most use sound some use light or vibration Some have sensors to identify when a person is in a light stage of sleep in order to avoid waking someone who is deeply asleep which causes tiredness even if the person has had adequate sleep To turn off the sound or light a button or handle on the clock is pressed most clocks automatically turn off the alarm if left unattended long enough A classic analog alarm clock has an extra hand or inset dial that is used to specify the time at which the alarm will ring Alarm clocks are also used in mobile phones watches and computers Many alarm clocks have radio receivers that can be set to start playing at specified times and are known as clock radios Some alarm clocks can set multiple alarms A progressive alarm clock can have different alarms for different times ( see next-generation alarms ) and play music of the user 's choice Most modern televisions computers mobile phones and digital watches have alarm functions that turn on or sound alerts at a specific time == Types == === Traditional analogue clocks === Traditional mechanical alarm clocks have one or two bells that ring by means of a mainspring that powers a gear to quickly move a hammer back and forth between the two bells or between the interior sides of a single bell In some models the metal cover at back of the clock itself also functions as the bell In an electronically operated bell-style alarm clock the bell is rung by an electromagnetic circuit and armature to turn the circuit on and off repeatedly === Digital === Digital alarm clocks can make other noises Simple battery-powered alarm clocks make a loud buzzing or beeping sound to wake a sleeper while novelty alarm clocks can speak laugh sing or play sounds from nature == History == The ancient Greek philosopher Plato ( 428–348 BC ) was said to possess a large water clock with an unspecified alarm signal similar to the sound of a water organ he used it at night possibly for signaling the beginning of his lectures at dawn ( Athenaeus 4.174c ) The Hellenistic engineer and inventor Ctesibius ( fl 285–222 BC ) fitted his clepsydras with dial and pointer for indicating the time and added elaborate `` alarm systems which could be made to drop pebbles on a gong or blow trumpets ( by forcing bell-jars down into water and taking the compressed air through a beating reed ) at pre-set times '' ( Vitruv 11.11 ) .The late Roman statesman Cassiodorus ( c. 485–585 ) advocated in his rulebook for monastic life the water clock as a useful alarm for the `` soldiers
/m/0pcr,Alpha ( uppercase Α lowercase α Ancient Greek ἄλφα álpha or Greek άλφα romanized álfa ) is the first letter of the Greek alphabet In the system of Greek numerals it has a value of one Alpha is derived from the Phoenician letter aleph which is the West Semitic word for `` ox '' Letters that arose from alpha include the Latin letter A and the Cyrillic letter А == Uses == === Greek === In Ancient Greek alpha was pronounced [ a ] and could be either phonemically long ( [ aː ] ) or short ( [ a ] ) Where there is ambiguity long and short alpha are sometimes written with a macron and breve today Ᾱᾱ Ᾰᾰcode ell promoted to code el ὥρα = ὥρᾱ hōrā Greek pronunciation [ hɔ́ːraː ] `` a time '' γλῶσσα = γλῶσσᾰ glôssa Greek pronunciation [ ɡlɔ̂ːssa ] `` tongue '' In Modern Greek vowel length has been lost and all instances of alpha simply represent the open front unrounded vowel IPA [ a ] In the polytonic orthography of Greek alpha like other vowel letters can occur with several diacritic marks any of three accent symbols ( ά ὰ ᾶ ) and either of two breathing marks ( ἁ ἀ ) as well as combinations of these It can also combine with the iota subscript ( ᾳ ) ==== Greek grammar ==== In the Attic–Ionic dialect of Ancient Greek long alpha [ aː ] fronted to [ ɛː ] ( eta ) In Ionic the shift took place in all positions In Attic the shift did not take place after epsilon iota and rho ( ε ι ρ e i r ) In Doric and Aeolic long alpha is preserved in all positions Doric Aeolic Attic χώρᾱ chṓrā – Ionic χώρη chṓrē `` country '' Doric Aeolic φᾱ́μᾱ phā́mā – Attic Ionic φήμη phḗmē `` report '' Privative a is the Ancient Greek prefix ἀ- or ἀν- a- an- added to words to negate them It originates from the Proto-Indo-European * n̥- ( syllabic nasal ) and is cognate with English un- Copulative a is the Greek prefix ἁ-code ell promoted to code el or ἀ-code ell promoted to code el ha- a-code ell promoted to code el It comes from Proto-Indo-European * sm̥ === Mathematics and science === The letter alpha represents various concepts in physics and chemistry including alpha radiation angular acceleration alpha particles alpha carbon and strength of electromagnetic interaction ( as fine-structure constant ) Alpha also stands for thermal expansion coefficient of a compound in physical chemistry It is also commonly used in mathematics in algebraic solutions representing quantities such as angles Furthermore in mathematics the letter alpha is used to denote the area underneath a normal curve in statistics to denote significance level when proving null and alternative hypotheses In ethology it is used to name the dominant individual in a group of animals In aerodynamics the letter is used as a symbol for the angle of attack of an aircraft and the word `` alpha
/m/012n7d,An ambulance is a medically equipped vehicle which transports patients to treatment facilities such as hospitals Typically out-of-hospital medical care is provided to the patient during the transport Ambulances are used to respond to medical emergencies by emergency medical services ( EMS ) For this purpose they are generally equipped with flashing warning lights and sirens They can rapidly transport paramedics and other first responders to the scene carry equipment for administering emergency care and transport patients to hospital or other definitive care Most ambulances use a design based on vans or pickup trucks Others take the form of motorcycles buses limousines aircraft and boats Generally vehicles count as an ambulance if they can transport patients However it varies by jurisdiction as to whether a non-emergency patient transport vehicle ( also called an ambulette ) is counted as an ambulance These vehicles are not usually ( although there are exceptions ) equipped with life-support equipment and are usually crewed by staff with fewer qualifications than the crew of emergency ambulances Conversely EMS agencies may also have emergency response vehicles that can not transport patients These are known by names such as nontransporting EMS vehicles fly-cars or response vehicles The term ambulance comes from the Latin word `` ambulare '' as meaning `` to walk or move about '' which is a reference to early medical care where patients were moved by lifting or wheeling The word originally meant a moving hospital which follows an army in its movements Ambulances ( Ambulancias in Spanish ) were first used for emergency transport in 1487 by the Spanish forces during the siege of Málaga by the Catholic Monarchs against the Emirate of Granada During the American Civil War vehicles for conveying the wounded off the field of battle were called ambulance wagons Field hospitals were still called ambulances during the Franco-Prussian War of 1870 and in the Serbo-Turkish war of 1876 even though the wagons were first referred to as ambulances about 1854 during the Crimean War == History == The history of the ambulance begins in ancient times with the use of carts to transport incurable patients by force Ambulances were first used for emergency transport in 1487 by the Spanish and civilian variants were put into operation during the 1830s Advances in technology throughout the 19th and 20th centuries led to the modern self-powered ambulances == Functional types == Ambulances can be grouped into types depending on whether or not they transport patients and under what conditions In some cases ambulances may fulfill more than one function ( such as combining emergency ambulance care with patient transport Emergency ambulance – The most common type of ambulance which provides care to patients with an acute illness or injury These can be road-going vans boats helicopters fixed-wing aircraft ( known as air ambulances ) or even converted vehicles such as golf carts Patient transport ambulance – A vehicle which has the job of transporting patients to from or between places of medical treatment such as hospital or dialysis center for non-urgent care These can be
/m/0jbk,"Animals are multicellular eukaryotic organisms in the biological kingdom Animalia With few exceptions animals consume organic material breathe oxygen are able to move can reproduce sexually and go through an ontogenetic stage in which their body consists of a hollow sphere of cells the blastula during embryonic development Over 1.5 million living animal species have been described—of which around 1 million are insects—but it has been estimated there are over 7 million animal species in total Animals range in length from 8.5 micrometres ( 0.00033 in ) to 33.6 metres ( 110 ft ) They have complex interactions with each other and their environments forming intricate food webs The scientific study of animals is known as zoology Most living animal species are in Bilateria a clade whose members have a bilaterally symmetric body plan The Bilateria include the protostomes containing animals such as nematodes arthropods flatworms annelids and molluscs and the deuterostomes containing the echinoderms and the chordates the latter including the vertebrates Life forms interpreted as early animals were present in the Ediacaran biota of the late Precambrian Many modern animal phyla became clearly established in the fossil record as marine species during the Cambrian explosion which began around 539 million years ago 6,331 groups of genes common to all living animals have been identified these may have arisen from a single common ancestor that lived 650 million years ago Historically Aristotle divided animals into those with blood and those without Carl Linnaeus created the first hierarchical biological classification for animals in 1758 with his Systema Naturae which Jean-Baptiste Lamarck expanded into 14 phyla by 1809 In 1874 Ernst Haeckel divided the animal kingdom into the multicellular Metazoa ( now synonymous for Animalia ) and the Protozoa single-celled organisms no longer considered animals In modern times the biological classification of animals relies on advanced techniques such as molecular phylogenetics which are effective at demonstrating the evolutionary relationships between taxa Humans make use of many animal species such as for food ( including meat milk and eggs ) for materials ( such as leather and wool ) as pets and as working animals including for transport Dogs have been used in hunting as have birds of prey while many terrestrial and aquatic animals were hunted for sports Nonhuman animals have appeared in art from the earliest times and are featured in mythology and religion == Etymology == The word `` animal '' comes from the Latin animalis meaning 'having breath 'having soul or 'living being The biological definition includes all members of the kingdom Animalia In colloquial usage the term animal is often used to refer only to nonhuman animals The term `` metazoa '' is from Ancient Greek μετα ( meta used to mean `` later '' ) and ζῷᾰ ( zōia plural of ζῷον zōion `` animal '' ) == Characteristics == Animals have several characteristics that set them apart from other living things Animals are eukaryotic and multicellular Unlike plants and algae which produce their own nutrients animals are heterotrophic feeding on organic material and digesting it internally With"
/m/0czz2,The term antelope is used to refer to many species of even-toed ruminant that are indigenous to various regions in Africa and Eurasia The term “ antelope ” is a wastebasket taxon and is defined as comprising any of numerous Old World grazing and browsing hoofed mammals belonging to the family Bovidae of the order Artiodactyla.A stricter definition also known as the `` true antelopes '' includes only the genera Gazella Nanger Eudorcas and Antilope One North American species the pronghorn is colloquially referred to as the `` American antelope '' but it belongs to a different family from the African and Eurasian antelopes A group of antelope is called a herd Unlike deer antlers which are shed and grown annually antelope horns grow continuously == Etymology == The English word `` antelope '' first appeared in 1417 and is derived from the Old French antelop itself derived from Medieval Latin ant ( h ) alopus which in turn comes from the Byzantine Greek word ἀνθόλοψ anthólops first attested in Eustathius of Antioch ( c. 336 ) according to whom it was a fabulous animal `` haunting the banks of the Euphrates very savage hard to catch and having long saw-like horns capable of cutting down trees '' It perhaps derives from Greek ἀνθος anthos ( flower ) and ώψ ops ( eye ) perhaps meaning `` beautiful eye '' or alluding to the animals long eyelashes This however may be a folk etymology in Greek based on some earlier root The word talopus and calopus from Latin came to be used in heraldry In 1607 it was first used for living cervine animals == Species == The 91 antelope species most of which are native to Africa occur in about 30 genera The classification of tribes or subfamilies within Bovidae is still a matter of debate with several alternative systems proposed Antelope are not a cladistic or taxonomically defined group The term is used to describe all members of the family Bovidae that do not fall under the category of sheep cattle or goats Usually all species of the Antilopinae Hippotraginae Reduncinae Cephalophinae many Bovinae the grey rhebok and the impala are called antelope == Distribution and habitat == More species of antelope are native to Africa than to any other continent almost exclusively in savannahs with 25-40 species co-occurring over much of East Africa Because savannah habitat in Africa has expanded and contracted five times over the last three million years and the fossil record indicates this is when most extant species evolved it is believed that isolation in refugia during contractions was a major driver of this diversification Other species occur in Asia the Arabian Peninsula is home to the Arabian oryx and Dorcas gazelle India is home to the nilgai chinkara blackbuck Tibetan antelope and four-horned antelope while Russia and Central Asia have the Tibetan antelope and saiga No antelope species is native to Australasia or Antarctica nor do any extant species occur in the Americas though the nominate saiga subspecies occurred in North America during the Pleistocene
/m/014j1m,In mathematics and computer science apply is a function that applies a function to arguments It is central to programming languages derived from lambda calculus such as LISP and Scheme and also in functional languages It has a role in the study of the denotational semantics of computer programs because it is a continuous function on complete partial orders Apply is also a continuous function in homotopy theory and indeed underpins the entire theory it allows a homotopy deformation to be viewed as a continuous path in the space of functions Likewise valid mutations ( refactorings ) of computer programs can be seen as those that are `` continuous '' in the Scott topology The most general setting for apply is in category theory where it is right adjoint to currying in closed monoidal categories A special case of this are the Cartesian closed categories whose internal language is simply typed lambda calculus == Programming == In computer programming apply applies a function to a list of arguments Eval and apply are the two interdependent components of the eval-apply cycle which is the essence of evaluating Lisp described in SICP Function application corresponds to beta reduction in lambda calculus === Apply function === Apply is also the name of a special function in many languages which takes a function and a list and uses the list as the function 's own argument list as if the function were called with the elements of the list as the arguments This is important in languages with variadic functions because this is the only way to call a function with an indeterminate ( at compile time ) number of arguments ==== Common Lisp and Scheme ==== In Common Lisp apply is a function that applies a function to a list of arguments ( note here that `` + '' is a variadic function that takes any number of arguments ) Similarly in Scheme ==== C++ ==== In C++ Bind is used either via the std namespace or via the boost namespace ==== C # and Java ==== In C # and Java variadic arguments are simply collected in an array Caller can explicitly pass in an array in place of the variadic arguments This can only be done for a variadic parameter It is not possible to apply an array of arguments to non-variadic parameter without using reflection An ambiguous case arises should the caller want to pass an array itself as one of the arguments rather than using the array as a list of arguments In this case the caller should cast the array to Object to prevent the compiler from using the apply interpretation With version 8 lambda expressions were introduced Functions are implemented as objects with a functional interface an interface with only one non-static method The standard interface consist of the method ( plus some static utility functions ) ==== Go ==== In Go typed variadic arguments are simply collected in a slice The caller can explicitly pass in a slice in place of the variadic arguments by appending a ...
/m/0xfy,"Amarillo ( AM-ə-RIL-oh Spanish for `` yellow '' ) is a city in the U.S. state of Texas and the seat of Potter County It is the 14th-most populous city in Texas and the largest city in the Texas Panhandle A portion of the city extends into Randall County The estimated population of Amarillo was 200,393 as of April 1 2020 The Amarillo-Pampa-Borger combined statistical area had an estimated population of 308,297 as of 2020.The city of Amarillo originally named Oneida is situated in the Llano Estacado region The availability of the railroad and freight service provided by the Fort Worth and Denver City Railroad contributed to the city 's growth as a cattle-marketing center in the late 19th century.Amarillo was once the self-proclaimed `` Helium Capital of the World '' for having one of the country 's most productive helium fields The city is also known as `` The Yellow Rose of Texas '' ( as the city takes its name from the Spanish word for yellow ) `` Yellow City '' for its name and `` Rotor City USA '' for its V-22 Osprey hybrid aircraft assembly plant Amarillo operates one of the largest meat-packing areas in the United States Pantex the only nuclear weapons assembly and disassembly facility in the country is also a major employer The location of this facility also gave rise to the nickname `` Bomb City '' The attractions Cadillac Ranch and Big Texan Steak Ranch are located adjacent to Interstate 40 U.S. Highway 66 also passed through the city == History == Large ranches exist in the Amarillo area among others the defunct XIT Ranch and the still functioning JA Ranch founded in 1877 by Charles Goodnight and John George Adair Goodnight continued the partnership for a time after Adair 's death with Adair 's widow Cornelia Wadsworth Ritchie Adair who was then the sole owner from 1887 until her death in 1921 During April 1887 J. I. Berry established a site for a town after he chose a well-watered section along the way of the Fort Worth and Denver City Railroad which had begun building across the Texas Panhandle Berry and Colorado City Texas merchants wanted to make their new town site the region 's main trading center On August 30 1887 Berry 's town site won the county seat election and was established in Potter County Availability of the railroad and freight service after the county seat election made the town a fast-growing cattle-marketing center.The settlement originally was called Oneida it later changed its name to Amarillo which probably derived from yellow wildflowers that were plentiful during the spring and summer or the nearby Amarillo Lake and Amarillo Creek named in turn for the yellow soil along their banks and shores ( Amarillo is the Spanish word for the color yellow ) Early residents originally pronounced the city 's name more similar to the Spanish pronunciation ah-mə-REE-yoh which was later displaced by the current pronunciation On June 19 1888 Henry B. Sanborn who is given credit as the `` Father of Amarillo"
/m/047v4b,The globe artichoke ( Cynara cardunculus var scolymus ) also known by the names French artichoke and green artichoke in the U.S. is a variety of a species of thistle cultivated as food The edible portion of the plant consists of the flower buds before the flowers come into bloom The budding artichoke flower-head is a cluster of many budding small flowers ( an inflorescence ) together with many bracts on an edible base Once the buds bloom the structure changes to a coarse barely edible form Another variety of the same species is the cardoon a perennial plant native to the Mediterranean region Both wild forms and cultivated varieties ( cultivars ) exist == Description == This vegetable grows to 1.4–2 m ( 4 ft 7 in – 6 ft 7 in ) tall with arching deeply lobed silvery glaucous-green leaves 50–83 cm ( 19+1⁄2–32+1⁄2 in ) long The flowers develop in a large head from an edible bud about 8–15 cm ( 3–6 in ) diameter with numerous triangular scales the individual florets are purple The edible portions of the buds consist primarily of the fleshy lower portions of the involucral bracts and the base known as the heart the mass of immature florets in the center of the bud is called the choke or beard These are inedible in older larger flowers === Chemical constituents === Artichoke contains the bioactive agents apigenin and luteolin.The total antioxidant capacity of artichoke flower heads is one of the highest reported for vegetables Cynarine is a chemical constituent in Cynara The majority of the cynarine found in artichoke is located in the pulp of the leaves though dried leaves and stems of artichoke also contain it == Etymology == The English word artichoke was borrowed in the sixteenth century from the northern Italian word articiocco ( the standard modern Italian being carciofo ) The Italian term was itself borrowed either from Spanish alcarchofa ( today usually alcachofa ) or directly from the source of the Spanish word—medieval Andalusi Arabic الخرشوفة ( al-kharshūfa including the Arabic definite article al ) The Arabic form kharshūfa is still used in Maghrebi Arabic today while other variants in Arabic include kharshafa and Modern Standard Arabic khurshūfa These Arabic forms themselves derive from classical Arabic حرشفة ( harshafa ) singular word of the plural حراشف ( ḥarashef ) meaning `` scale '' Other languages which derive their word for the artichoke from Arabic include Israeli Hebrew which has the word חֻרְשָׁף ( khursháf ) The original Hebrew name ( see Hebrew he ארטישוק ) which predates the Arab conquest is קינרס kinars which is found in the Mishna.Despite being borrowed from Arabic European terms for the artichoke have in turn influenced Arabic in their own right For example the modern Levantine Arabic term for artichoke is أرضي شوكي ( ʔarḍī shawkī ) This literally means 'earthy thorny and is an Arabicisation ( through phono-semantic matching ) of the English word artichoke or other European terms like it 213–214 As in the case of Levantine Arabic ʔarḍī shawkī names
