LabelName,DisplayName,ErrorType
/m/03m3vtv,Adhesive tape,0
/m/0_k2,Ant,1
/m/01fb_0,Bagel,1
/m/0j496,Band-aid,0
/m/01btn,Barge,1
/m/01dws,Bear,1
/m/03ssj5,Bed,0
/m/01h3n,Bee,1
/m/0jg57,Bell pepper,0
/m/0176mf,Belt,1
/m/0199g,Bicycle,1
/m/015p6,Bird,1
/m/02pjr4,Blender,1
/m/0ct4f,Bomb,1
/m/01b638,Boot,1
/m/04dr76w,Bottle,1
/m/04kkgm,Bowl,1
/m/01bl7v,Boy,1
/m/01gmv2,Brassiere,0
/m/01dxs,Brown bear,0
/m/0cnyhnx,Bull,1
/m/04yqq2,Bust,1
/m/0dv5r,Camera,0
/m/0gm28,Candy,1
/m/0ph39,Canoe,1
/m/01432t,Cassette deck,0
/m/0d5gx,Castle,1
/m/01yrx,Cat,1
/m/03ldnb,Ceiling fan,0
/m/01xqw,Cello,1
/m/0f8s22,Chime,1
/m/0_dqb,Chisel,1
/m/025nd,Christmas tree,0
/m/01x3z,Clock,1
/m/0d4w1,Closet,0
/m/0242l,Coin,0
/m/07mcwg,Cooking spray,0
/m/014trl,Cosmetics,0
/m/02crq1,Couch,1
/m/0b3fp9,Countertop,0
/m/0n28_,Crab,1
/m/01y9k5,Desk,1
/m/0f571,Diaper,0
/m/029b3,Dice,1
/m/0bt9lr,Dog,1
/m/0h8n6f9,Dog bed,0
/m/02dgv,Door,0
/m/03c7gz,Door handle,0
/m/0fqfqc,Drawer,1
/m/0271t,Drink,1
/m/026t6,Drum,1
/m/09ddx,Duck,1
/m/02fh7f,Eraser,1
/m/01_bhs,Fast food,0
/m/02xqq,Fax,1
/m/02fq_6,Fedora,0
/m/0ch_cf,Fish,1
/m/03120,Flag,1
/m/0c9ph5,Flower,1
/m/0dt3t,Fork,1
/m/02y6n,French fries,0
/m/02_n6y,Goggles,1
/m/0388q,Grape,1
/m/03qrc,Hamster,0
/m/02l8p9,Harbor seal,0
/m/02dl1y,Hat,1
/m/03qhv5,Heater,1
/m/0zvk5,Helmet,1
/m/06k2mb,High heels,0
/m/01b9xk,Hot dog,0
/m/03jm5,House,0
/m/032b3c,Jacket,1
/m/0fly7,Jeans,1
/m/01xs3r,Jet ski,0
/m/08hvt4,Jug,1
/m/03s_tn,Kettle,1
/m/03_wxk,Kitchenware,0
/m/02zt3,Kite,1
/m/027rl48,Ladle,1
/m/0dtln,Lamp,1
/m/0h8l4fh,Light bulb,0
/m/0jqgx,Lily,1
/m/096mb,Lion,0
/m/04m9y,Lizard,1
/m/0703r8,Loveseat,0
/m/0hf58v5,Luggage and bags,0
/m/01xgg_,Medical equipment,0
/m/04zpv,Milk,1
/m/01cmb2,Miniskirt,0
/m/04ylt,Missile,1
/m/063rgb,Mixer,1
/m/03hj559,Mixing bowl,1
/m/052sf,Mushroom,0
/m/04szw,Musical instrument,0
/m/0gv1x,Parrot,1
/m/05z55,Pasta,1
/m/0k1tl,Pen,1
/m/01g317,Person,1
/m/068zj,Pig,1
/m/08ks85,Pizza cutter,0
/m/05gqfk,Plastic bag,0
/m/050gv4,Plate,1
/m/099ssp,Platter,1
/m/0633h,Polar bear,0
/m/01n5jq,Poster,1
/m/05zsy,Pumpkin,0
/m/0dq75,Raccoon,0
/m/06l9r,Red panda,0
/m/0hdln,Ruler,1
/m/03txqz,Scale,1
/m/02h19r,Scarf,1
/m/0755b,Scorpion,0
/m/0llzx,Sewing machine,0
/m/0by6g,Shark,1
/m/0gjbg72,Shelf,1
/m/01n4qj,Shirt,1
/m/01bfm9,Shorts,1
/m/06nrc,Shotgun,0
/m/02f9f_,Shower,0
/m/0km7z,Skunk,1
/m/02tsc9,Slow cooker,0
/m/01nq26,Sock,1
/m/0h23m,Sparrow,1
/m/025fsf,Stapler,1
/m/0fqt361,Stool,1
/m/02pv19,Stop sign,0
/m/02lbcq,Stretcher,1
/m/026qbn5,Studio couch,0
/m/019w40,Surfboard,0
/m/04bcr3,Table,1
/m/07cmd,Tank,1
/m/02jz0l,Tap,1
/m/02zvsm,Tart,1
/m/07clx,Tea,1
/m/0kmg4,Teddy bear,0
/m/05ctyq,Tennis ball,0
/m/01j61q,Tent,1
/m/01krhy,Tiara,1
/m/0175cv,Tick,1
/m/0h9mv,Tire,1
/m/01k6s3,Toaster,1
/m/07j87,Tomato,0
/m/07k1x,Tool,1
/m/07jdr,Train,1
/m/030610,Treadmill,0
/m/07j7r,Tree,1
/m/073bxn,Tripod,1
/m/07r04,Truck,1
/m/0f6nr,Unicycle,0
/m/02s195,Vase,1
/m/0mw_6,Willow,1
/m/01dy8n,Woodpecker,0
/m/084hf,Worm,1
